"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","GOOGL.Date","Company.Name"
"4101",1766.660034,1821.719971,1763.030029,1795.359985,1867500,1795.359985,"2020-12-01","GOOGLE"
"4102",1795.359985,1832.73999,1785.170044,1824.969971,1471200,1824.969971,"2020-12-02","GOOGLE"
"4103",1820.540039,1843.829956,1817,1821.839966,1236400,1821.839966,"2020-12-03","GOOGLE"
"4104",1820.219971,1829.5,1813.589966,1823.76001,1027200,1823.76001,"2020-12-04","GOOGLE"
"4105",1815.550049,1829.290039,1803.040039,1817.030029,1114400,1817.030029,"2020-12-07","GOOGLE"
"4106",1808.52002,1815.969971,1791.280029,1811.329956,996800,1811.329956,"2020-12-08","GOOGLE"
"4107",1810.359985,1828.369995,1762,1777.859985,1586400,1777.859985,"2020-12-09","GOOGLE"
"4108",1762.599976,1774.98999,1733.530029,1767.650024,1434400,1767.650024,"2020-12-10","GOOGLE"
"4109",1760,1777.310059,1752.73999,1774.800049,931400,1774.800049,"2020-12-11","GOOGLE"
"4110",1770.719971,1789.800049,1749.130005,1752.26001,1652500,1752.26001,"2020-12-14","GOOGLE"
"4111",1759.859985,1764,1741.670044,1761.079956,1067600,1761.079956,"2020-12-15","GOOGLE"
"4112",1769.109985,1769.109985,1749.060059,1757.189941,1233800,1757.189941,"2020-12-16","GOOGLE"
"4113",1763.930054,1766.709961,1731.150024,1740.51001,1744000,1740.51001,"2020-12-17","GOOGLE"
"4114",1746.170044,1748.359985,1715,1726.219971,4262800,1726.219971,"2020-12-18","GOOGLE"
"4115",1709.130005,1737,1694,1734.560059,1698700,1734.560059,"2020-12-21","GOOGLE"
"4116",1729.329956,1732.609985,1705.780029,1720.219971,1018500,1720.219971,"2020-12-22","GOOGLE"
"4117",1723.930054,1744.109985,1721.199951,1728.22998,1148700,1728.22998,"2020-12-23","GOOGLE"
"4118",1729,1742.410034,1724.349976,1734.160034,465600,1734.160034,"2020-12-24","GOOGLE"
"4119",1744.910034,1787,1741.819946,1773.959961,1382500,1773.959961,"2020-12-28","GOOGLE"
"4120",1787.22998,1788.469971,1755.109985,1757.76001,986300,1757.76001,"2020-12-29","GOOGLE"
"4121",1765,1767.76001,1728,1736.25,1051300,1736.25,"2020-12-30","GOOGLE"
"4122",1737.27002,1757.5,1736.089966,1752.640015,1053500,1752.640015,"2020-12-31","GOOGLE"
"4123",1760,1762.48999,1707.140015,1726.130005,1866200,1726.130005,"2021-01-04","GOOGLE"
"4124",1725.089966,1746.829956,1716.900024,1740.050049,1018000,1740.050049,"2021-01-05","GOOGLE"
"4125",1700.26001,1743.969971,1696.099976,1722.880005,2329400,1722.880005,"2021-01-06","GOOGLE"
