"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","AAPL.Date","Company.Name"
"4769",42.25,42.27,41.32,41.369999,162814800,40.219677,"2018-12-14","APPLE"
"4770",41.362499,42.087502,40.682499,40.985001,177151600,39.845387,"2018-12-17","APPLE"
"4771",41.345001,41.8825,41.0975,41.517502,135366000,40.363079,"2018-12-18","APPLE"
"4772",41.5,41.862499,39.772499,40.2225,196189200,39.104084,"2018-12-19","APPLE"
"4773",40.099998,40.5275,38.825001,39.2075,259092000,38.11731,"2018-12-20","APPLE"
"4774",39.215,39.540001,37.407501,37.682499,382978400,36.634708,"2018-12-21","APPLE"
"4775",37.037498,37.887501,36.647499,36.7075,148676800,35.686832,"2018-12-24","APPLE"
"4776",37.075001,39.307499,36.68,39.2925,234330000,38.199947,"2018-12-26","APPLE"
"4777",38.959999,39.192501,37.517502,39.037498,212468400,37.95203,"2018-12-27","APPLE"
"4778",39.375,39.630001,38.637501,39.057499,169165600,37.971478,"2018-12-28","APPLE"
"4779",39.6325,39.84,39.119999,39.435001,140014000,38.338478,"2018-12-31","APPLE"
"4780",38.7225,39.712502,38.557499,39.48,148158800,38.382225,"2019-01-02","APPLE"
"4781",35.994999,36.43,35.5,35.547501,365248800,34.559067,"2019-01-03","APPLE"
"4782",36.1325,37.137501,35.950001,37.064999,234428400,36.034374,"2019-01-04","APPLE"
"4783",37.174999,37.2075,36.474998,36.982498,219111200,35.954174,"2019-01-07","APPLE"
"4784",37.389999,37.955002,37.130001,37.6875,164101200,36.639572,"2019-01-08","APPLE"
"4785",37.822498,38.6325,37.407501,38.327499,180396400,37.261772,"2019-01-09","APPLE"
"4786",38.125,38.4925,37.715,38.450001,143122800,37.380871,"2019-01-10","APPLE"
"4787",38.220001,38.424999,37.877499,38.072498,108092800,37.013859,"2019-01-11","APPLE"
"4788",37.712502,37.817501,37.305,37.5,129756800,36.457283,"2019-01-14","APPLE"
"4789",37.567501,38.3475,37.512501,38.267502,114843600,37.203442,"2019-01-15","APPLE"
"4790",38.27,38.970001,38.25,38.735001,122278800,37.657948,"2019-01-16","APPLE"
"4791",38.549999,39.415001,38.314999,38.965,119284800,37.881542,"2019-01-17","APPLE"
"4792",39.375,39.470001,38.994999,39.205002,135004000,38.114876,"2019-01-18","APPLE"
"4793",39.102501,39.182499,38.154999,38.325001,121576000,37.259342,"2019-01-22","APPLE"
"4794",38.537498,38.785,37.924999,38.48,92522400,37.410027,"2019-01-23","APPLE"
"4795",38.5275,38.619999,37.935001,38.174999,101766000,37.11351,"2019-01-24","APPLE"
"4796",38.869999,39.532501,38.580002,39.439999,134142000,38.343338,"2019-01-25","APPLE"
"4797",38.947498,39.0825,38.415001,39.075001,104768400,37.988483,"2019-01-28","APPLE"
"4798",39.0625,39.532501,38.5275,38.669998,166348800,37.594753,"2019-01-29","APPLE"
"4799",40.8125,41.537498,40.057499,41.3125,244439200,40.163769,"2019-01-30","APPLE"
"4800",41.5275,42.25,41.139999,41.610001,162958400,40.453003,"2019-01-31","APPLE"
"4801",41.740002,42.244999,41.482498,41.630001,130672400,40.47245,"2019-02-01","APPLE"
"4802",41.852501,42.915001,41.82,42.8125,125982000,41.622055,"2019-02-04","APPLE"
"4803",43.215,43.77,43.087502,43.544998,144406400,42.334198,"2019-02-05","APPLE"
"4804",43.662498,43.892502,43.212502,43.560001,112958400,42.348782,"2019-02-06","APPLE"
"4805",43.099998,43.485001,42.584999,42.735001,126966800,41.546722,"2019-02-07","APPLE"
"4806",42.247501,42.665001,42.105,42.602501,95280000,41.595539,"2019-02-08","APPLE"
"4807",42.762501,42.802502,42.3125,42.357498,83973600,41.356331,"2019-02-11","APPLE"
"4808",42.525002,42.75,42.424999,42.7225,89134000,41.712696,"2019-02-12","APPLE"
"4809",42.8475,43.119999,42.48,42.544998,89960800,41.539394,"2019-02-13","APPLE"
"4810",42.427502,42.814999,42.345001,42.700001,87342800,41.690735,"2019-02-14","APPLE"
"4811",42.8125,42.924999,42.4375,42.605,98507200,41.597973,"2019-02-15","APPLE"
"4812",42.427502,42.860001,42.372501,42.732498,75891200,41.722466,"2019-02-19","APPLE"
"4813",42.797501,43.330002,42.747501,43.0075,104457600,41.990963,"2019-02-20","APPLE"
"4814",42.950001,43.092499,42.575001,42.764999,68998800,41.754196,"2019-02-21","APPLE"
"4815",42.895,43.25,42.845001,43.2425,75652800,42.220413,"2019-02-22","APPLE"
"4816",43.540001,43.967499,43.487499,43.557499,87493600,42.527962,"2019-02-25","APPLE"
"4817",43.427502,43.825001,43.2925,43.5825,68280800,42.552376,"2019-02-26","APPLE"
"4818",43.302502,43.75,43.182499,43.717499,111341600,42.684185,"2019-02-27","APPLE"
"4819",43.580002,43.727501,43.23,43.287498,112861600,42.264343,"2019-02-28","APPLE"
"4820",43.57,43.787498,43.2225,43.7425,103544800,42.708591,"2019-03-01","APPLE"
"4821",43.922501,44.4375,43.4925,43.962502,109744800,42.923397,"2019-03-04","APPLE"
"4822",43.985001,44,43.634998,43.8825,78949600,42.845284,"2019-03-05","APPLE"
"4823",43.6675,43.872501,43.485001,43.630001,83241600,42.598751,"2019-03-06","APPLE"
"4824",43.467499,43.610001,43.005001,43.125,99185600,42.10569,"2019-03-07","APPLE"
"4825",42.580002,43.267502,42.375,43.227501,95997600,42.205765,"2019-03-08","APPLE"
"4826",43.872501,44.779999,43.837502,44.724998,128044000,43.66787,"2019-03-11","APPLE"
"4827",45,45.6675,44.842499,45.227501,129870400,44.158501,"2019-03-12","APPLE"
"4828",45.5625,45.825001,45.23,45.427502,124130000,44.353764,"2019-03-13","APPLE"
"4829",45.974998,46.025002,45.639999,45.932499,94318000,44.846825,"2019-03-14","APPLE"
"4830",46.212502,46.8325,45.935001,46.529999,156171600,45.43021,"2019-03-15","APPLE"
"4831",46.450001,47.0975,46.447498,47.005001,104879200,45.893982,"2019-03-18","APPLE"
"4832",47.087502,47.247501,46.48,46.6325,126585600,45.530285,"2019-03-19","APPLE"
"4833",46.557499,47.372501,46.182499,47.040001,124140800,45.92815,"2019-03-20","APPLE"
"4834",47.505001,49.0825,47.452499,48.772499,204136800,47.619701,"2019-03-21","APPLE"
"4835",48.834999,49.422501,47.695,47.762501,169630800,46.633579,"2019-03-22","APPLE"
"4836",47.877499,47.994999,46.650002,47.185001,175381200,46.069725,"2019-03-25","APPLE"
"4837",47.915001,48.220001,46.145,46.697498,199202000,45.593746,"2019-03-26","APPLE"
"4838",47.1875,47.439999,46.637501,47.1175,119393600,46.003826,"2019-03-27","APPLE"
"4839",47.237499,47.389999,46.8825,47.18,83121600,46.064838,"2019-03-28","APPLE"
"4840",47.4575,47.52,47.134998,47.487499,94256000,46.365078,"2019-03-29","APPLE"
"4841",47.91,47.919998,47.095001,47.810001,111448000,46.679951,"2019-04-01","APPLE"
"4842",47.772499,48.615002,47.762501,48.505001,91062800,47.358524,"2019-04-02","APPLE"
"4843",48.3125,49.125,48.287498,48.837502,93087200,47.683174,"2019-04-03","APPLE"
"4844",48.697498,49.092499,48.285,48.922501,76457200,47.766159,"2019-04-04","APPLE"
"4845",49.112499,49.275002,48.982498,49.25,74106400,48.085915,"2019-04-05","APPLE"
